,ID,Label,Names,Num,gender,race,class,other,notes
146,Project Gutenberg Literary Archive Foundation,Project Gutenberg Literary Archive Foundation,"Project Gutenberg Literary Archive Foundation, Foundation, Gutenberg",8,unknown,,,,
147,Regent,Regent,Regent,1,unknown,,,,
148,Richard,Richard,"Richard, Mr. Carstone, Mr. Richard, Mr. Richard Carstone, Richard Carstone, Rick, Mr. C.",1239,male,,,,
149,Rosa,Rosa,Rosa,36,female,,,,
150,Royal Academy,Royal Academy,Royal Academy,1,unknown,,,,
151,Royal Navy,Royal Navy,"Royal Navy, Navy",2,unknown,,,,
152,Rumour,Rumour,Rumour,2,unknown,,,,
153,Saint Albans,Saint Albans,Saint Albans,1,unknown,,,,
154,Sheen,Sheen,Sheen,1,unknown,,,,
155,Sol,Sol,Sol,31,female,,,,
156,Somers Town,Somers Town,Somers Town,2,unknown,,,,
157,Stubbs,Stubbs,Stubbs,14,unknown,,,,
158,Swosser,Swosser,Swosser,10,unknown,,,,
159,Symond,Symond,Symond,18,unknown,,,,
160,Temple Bar,Temple Bar,"Temple Bar, Temple",3,unknown,,,,
161,Terewth,Terewth,Terewth,1,unknown,,,,
162,Tom,Tom,"Tom, Tom Jarndyce",55,male,,,,
163,Tony,Tony,"Tony, Jobling, Tony Jobling",83,male,,,,
164,Toughey,Toughey,Toughey,3,unknown,,,,
165,Toughy,Toughy,Toughy,2,unknown,,,,
166,W. Grubble,W. Grubble,W. Grubble,2,unknown,,,,
167,Wat Tyler,Wat Tyler,Wat Tyler,4,unknown,,,,
168,Whittington,Whittington,Whittington,1,unknown,,,,
169,William Buffy,William Buffy,"William Buffy, Buffy",17,unknown,,,,
170,William G.,William G.,William G.,2,unknown,,,,
171,Wishermaydie,Wishermaydie,Wishermaydie,3,unknown,,,,
172,Woolwich,Woolwich,Woolwich,10,unknown,,,,
