,ID,Label,Names,Num,gender,race,class,other,notes,Rank
163,Tony,Tony,"Tony, Jobling, Tony Jobling",83,male,,,,,37
96,Mr. Jobling,Mr. Jobling,"Mr. Jobling, Jobling",80,male,,,,,38
15,Caddy,Caddy,"Caddy, Caddy Jellyby",73,unknown,,,,,39
41,Gridley,Gridley,"Gridley, Mr. Gridley",66,unknown,,,,,40
117,Mrs. Badger,Mrs. Badger,"Mrs. Badger, Mrs. Bayham Badger, Badger",60,female,,,,,41
125,Mrs. Pardiggle,Mrs. Pardiggle,Mrs. Pardiggle,59,female,,,,,42
52,Jenny,Jenny,"Jenny, Will Jenny",58,female,,,,,43
162,Tom,Tom,"Tom, Tom Jarndyce",55,male,,,,,44
83,Mr. Badger,Mr. Badger,"Mr. Badger, Mr. Bayham Badger",45,male,,,,,45
134,Mrs. Woodcourt,Mrs. Woodcourt,Mrs. Woodcourt,39,female,,,,,46
119,Mrs. Blinder,Mrs. Blinder,"Mrs. Blinder, Blinder",38,female,,,,,47
120,Mrs. Bucket,Mrs. Bucket,Mrs. Bucket,36,female,,,,,48
149,Rosa,Rosa,Rosa,36,female,,,,,49
121,Mrs. Chadband,Mrs. Chadband,Mrs. Chadband,34,female,,,,,50
100,Mr. Quale,Mr. Quale,Mr. Quale,33,male,,,,,51
144,Prince,Prince,Prince,32,male,,,,,52
155,Sol,Sol,Sol,31,female,,,,,53
39,Grandfather Smallweed,Grandfather Smallweed,Grandfather Smallweed,30,unknown,,,,,54
42,Guster,Guster,Guster,28,unknown,,,,,55
132,Mrs. Smallweed,Mrs. Smallweed,Mrs. Smallweed,27,female,,,,,56
7,Bart,Bart,Bart,25,male,,,,,57
61,Lady Jane,Lady Jane,"Lady Jane, Jane",25,female,,,,,58
128,Mrs. Rachael,Mrs. Rachael,"Mrs. Rachael, Rachael",24,female,,,,,59
65,Liz,Liz,Liz,24,female,,,,,60
139,Peepy,Peepy,Peepy,21,unknown,,,,,61
31,Emma,Emma,Emma,21,female,,,,,62
126,Mrs. Perkins,Mrs. Perkins,"Mrs. Perkins, Perkins",20,female,,,,,63
123,Mrs. Guppy,Mrs. Guppy,"Mrs. Guppy, Guppy",19,female,,,,,64
102,Mr. Sangsby,Mr. Sangsby,Mr. Sangsby,19,male,,,,,65
159,Symond,Symond,Symond,18,unknown,,,,,66
127,Mrs. Piper,Mrs. Piper,"Mrs. Piper, Piper",17,female,,,,,67
91,Mr. Grubble,Mr. Grubble,Mr. Grubble,17,male,,,,,68
169,William Buffy,William Buffy,"William Buffy, Buffy",17,unknown,,,,,69
157,Stubbs,Stubbs,Stubbs,14,unknown,,,,,70
73,Miss Donny,Miss Donny,Miss Donny,14,female,,,,,71
13,Bob Stables,Bob Stables,Bob Stables,12,unknown,,,,,72
30,Egbert,Egbert,Egbert,11,male,,,,,73
158,Swosser,Swosser,Swosser,10,unknown,,,,,74
115,Mr. Woodcot,Mr. Woodcot,Mr. Woodcot,10,male,,,,,75
107,Mr. Squod,Mr. Squod,Mr. Squod,10,male,,,,,76
172,Woolwich,Woolwich,Woolwich,10,unknown,,,,,77
71,Miss Barbary,Miss Barbary,Miss Barbary,9,female,,,,,78
37,George Rouncewell,George Rouncewell,George Rouncewell,9,unknown,,,,,79
34,Fitz Jarndyce,Fitz Jarndyce,Fitz Jarndyce,9,unknown,,,,,80
93,Mr. Gusher,Mr. Gusher,Mr. Gusher,9,male,,,,,81
49,Jacob,Jacob,Jacob,9,male,,,,,82
11,Bleak House,Bleak House,"Bleak House, House",9,unknown,,,,,83
72,Miss Dedlock,Miss Dedlock,Miss Dedlock,8,female,,,,,84
146,Project Gutenberg Literary Archive Foundation,Project Gutenberg Literary Archive Foundation,"Project Gutenberg Literary Archive Foundation, Foundation, Gutenberg",8,unknown,,,,,85
131,Mrs. Skimpole,Mrs. Skimpole,Mrs. Skimpole,8,female,,,,,86
16,Carboy,Carboy,Carboy,8,unknown,,,,,87
82,Mother,Mother,"Mother, Mother Hubbard",8,unknown,,,,,88
28,Dolly,Dolly,Dolly,7,female,,,,,89
54,Joe Pouch,Joe Pouch,Joe Pouch,7,unknown,,,,,90
66,Lord Coodle,Lord Coodle,"Lord Coodle, Coodle",7,male,,,,,91
109,Mr. Tangle,Mr. Tangle,Mr. Tangle,7,male,,,,,92
81,Morgan,Morgan,"Morgan, Morgan ap - Kerrig",7,male,,,,,93
21,Coavinses,Coavinses,Coavinses,7,unknown,,,,,94
57,Joy,Joy,"Joy, Bonds of Joy",7,female,,,,,95
20,Clifford,Clifford,Clifford,7,male,,,,,96
99,Mr. Pardiggle,Mr. Pardiggle,Mr. Pardiggle,6,male,,,,,97
86,Mr. Bogsby,Mr. Bogsby,"Mr. Bogsby, Mr. J. G. Bogsby",6,male,,,,,98
145,Priscilla,Priscilla,Priscilla,6,female,,,,,99
44,Hawdon,Hawdon,Hawdon,6,unknown,,,,,100
140,Peffer,Peffer,"Peffer, PEFFER",5,unknown,,,,,101
80,Morbury,Morbury,"Morbury, Morbury Dedlock",5,unknown,,,,,102
104,Mr. Sladdery,Mr. Sladdery,Mr. Sladdery,5,male,,,,,103
2,Alfred,Alfred,Alfred,5,male,,,,,104
17,Caroline,Caroline,Caroline,4,female,,,,,105
9,Begludship,Begludship,Begludship,4,unknown,,,,,106
167,Wat Tyler,Wat Tyler,Wat Tyler,4,unknown,,,,,107
77,Miss M. Melvilleson,Miss M. Melvilleson,Miss M. Melvilleson,4,female,,,,,108
62,Laura,Laura,Laura,4,female,,,,,109
64,Lignum,Lignum,Lignum,4,unknown,,,,,110
12,Bluffy,Bluffy,Bluffy,3,unknown,,,,,111
69,Mercuries,Mercuries,Mercuries,3,unknown,,,,,112
164,Toughey,Toughey,Toughey,3,unknown,,,,,113
136,Nimrod,Nimrod,Nimrod,3,male,,,,,114
23,Cuffy,Cuffy,Cuffy,3,unknown,,,,,115
78,Miss Wisk,Miss Wisk,Miss Wisk,3,female,,,,,116
160,Temple Bar,Temple Bar,"Temple Bar, Temple",3,unknown,,,,,117
122,Mrs. Green,Mrs. Green,Mrs. Green,3,female,,,,,118
97,Mr. Jones,Mr. Jones,"Mr. Jones, Jones",3,male,,,,,119
48,Jack,Jack,Jack,3,male,,,,,120
74,Miss Donnys,Miss Donnys,Miss Donnys,3,female,,,,,121
38,God,God,God,3,unknown,,,,,122
171,Wishermaydie,Wishermaydie,Wishermaydie,3,unknown,,,,,123
46,Honoria,Honoria,Honoria,3,female,,,,,124
56,Joshua Smallweed,Joshua Smallweed,Joshua Smallweed,2,unknown,,,,,125
8,Bartholomew,Bartholomew,Bartholomew,2,male,,,,,126
156,Somers Town,Somers Town,Somers Town,2,unknown,,,,,127
85,Mr. Blowers,Mr. Blowers,Mr. Blowers,2,male,,,,,128
4,Aye,Aye,Aye,2,unknown,,,,,129
10,Bibo,Bibo,Bibo,2,male,,,,,130
151,Royal Navy,Royal Navy,"Royal Navy, Navy",2,unknown,,,,,131
108,Mr. Swills,Mr. Swills,Mr. Swills,2,male,,,,,132
130,Mrs. Shipton,Mrs. Shipton,Mrs. Shipton,2,female,,,,,133
166,W. Grubble,W. Grubble,W. Grubble,2,unknown,,,,,134
55,Johnny,Johnny,Johnny,2,male,,,,,135
112,Mr. Turveydrops,Mr. Turveydrops,Mr. Turveydrops,2,male,,,,,136
170,William G.,William G.,William G.,2,unknown,,,,,137
79,Mooney,Mooney,Mooney,2,unknown,,,,,138
33,Felix,Felix,Felix,2,male,,,,,139
29,Don Quixote,Don Quixote,Don Quixote,2,male,,,,,140
152,Rumour,Rumour,Rumour,2,unknown,,,,,141
27,Dingo,Dingo,Dingo,2,unknown,,,,,142
26,Darby,Darby,Darby,2,andy,,,,,143
165,Toughy,Toughy,Toughy,2,unknown,,,,,144
22,Court of Chancery,Court of Chancery,"Court of Chancery, High Court of Chancery, Chancery, Court",2,unknown,,,,,145
5,Bank of England,Bank of England,Bank of England,1,unknown,,,,,146
6,Barnet,Barnet,Barnet,1,unknown,,,,,147
161,Terewth,Terewth,Terewth,1,unknown,,,,,148
76,Miss Jogg,Miss Jogg,Miss Jogg,1,female,,,,,149
168,Whittington,Whittington,Whittington,1,unknown,,,,,150
154,Sheen,Sheen,Sheen,1,unknown,,,,,151
3,Arethusa,Arethusa,Arethusa,1,unknown,,,,,152
153,Saint Albans,Saint Albans,Saint Albans,1,unknown,,,,,153
